gene,LRL01_S1,LRL02_S2,LRL03_S3,LRL04_S4,LRL05_S5,LRL06_S6,LRL07_S7,LRL08_S8,LRL09_S9,LRL10_S10,LRL11_S11,LRL12_S12
WBGene00014450,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014451,0,0,0,0,0,0,1,0,1,0,0,0
WBGene00010957,926,873,1055,666,671,685,1226,906,605,603,802,636
WBGene00010958,376,533,469,344,343,279,761,537,371,305,426,333
WBGene00014452,1,0,0,0,0,0,0,0,0,1,0,1
WBGene00014453,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014454,6014,6155,5225,4033,3648,4202,14195,10956,9862,4672,4537,4126
WBGene00014455,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014456,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00014457,2,3,2,3,2,1,2,0,0,2,1,1
WBGene00010959,11413,10083,9328,8730,8336,10256,14509,10085,9389,4411,4461,3693
WBGene00010960,35616,34550,33219,27757,26680,29380,58026,40414,35865,25067,26295,21090
WBGene00014458,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014459,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00014460,7,7,10,3,6,9,9,9,13,7,1,3
WBGene00010961,6330,6072,5599,4778,4613,5888,9688,6465,6804,2322,2461,1947
WBGene00014461,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014462,0,0,0,0,1,0,0,1,0,0,0,0
WBGene00014463,0,0,0,0,0,1,1,1,0,0,0,0
WBGene00014464,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00000829,40509,33403,33259,33186,31683,36046,65269,47336,42846,29582,29333,25150
WBGene00014465,3,2,1,0,0,1,2,1,4,0,1,0
WBGene00010962,45665,43225,38308,31335,29264,34198,85668,61597,55845,45628,44388,37624
WBGene00014466,1,0,0,2,0,1,4,1,2,0,0,0
WBGene00010963,8969,6741,8113,7147,6663,7952,16427,11370,11096,7569,7462,6261
WBGene00010964,74290,62338,61544,45866,43708,51826,87288,63575,59624,63561,65123,54412
WBGene00014467,0,0,0,0,0,0,2,0,0,0,0,1
WBGene00014468,0,0,0,0,0,2,1,3,1,0,1,0
WBGene00014469,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00014470,1,0,0,1,0,0,0,1,1,0,1,0
WBGene00010965,29084,29340,26887,23077,22252,26406,37714,26572,24799,22721,23016,19283
WBGene00014471,2,0,0,1,0,1,3,0,0,0,1,0
WBGene00014472,3005,3093,2835,2130,1924,2289,7556,5325,5379,2427,2323,2036
WBGene00010966,4821,3886,4080,2783,2983,3516,8043,5375,5052,981,981,821
WBGene00010967,7189,6927,8373,7295,6975,8609,12896,8838,8724,6837,6826,5646
WBGene00014473,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021406,4,1,0,1,3,3,2,0,1,3,1,1
WBGene00021407,0,0,0,0,0,1,0,0,0,0,1,0
WBGene00021408,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021405,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021409,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021404,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001492,53,50,44,101,109,92,153,138,115,96,79,73
WBGene00021403,0,0,0,0,0,0,0,0,0,0,2,0
WBGene00195502,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00235257,2,2,2,0,3,4,1,0,0,0,1,3
WBGene00235258,0,1,0,3,3,5,0,0,0,0,0,0
WBGene00166500,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00235260,0,0,0,0,0,0,3,1,0,1,0,0
WBGene00235259,0,1,2,1,1,1,0,0,0,0,0,0
WBGene00023131,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00235261,1,0,1,2,6,2,1,0,0,1,0,1
WBGene00235262,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201447,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015246,3,2,2,5,7,4,2,3,1,7,2,1
WBGene00006599,617,606,549,635,641,688,1278,1074,946,1017,1111,1047
WBGene00015247,145,154,142,225,228,251,877,897,752,554,671,488
WBGene00017927,0,0,1,3,2,2,1,1,3,6,4,9
WBGene00001111,5,2,7,3,8,8,2,3,5,13,7,5
WBGene00023277,1,2,1,1,0,3,4,3,1,3,2,4
WBGene00017928,646,768,596,605,586,558,291,266,200,290,323,302
WBGene00017929,2116,1847,1953,2209,2027,2013,691,622,621,705,766,703
